Year,Units,Disaggregation,Value
2004,Mio Constant USD 2016,Total,46.64731
2005,Mio Constant USD 2016,Total,34.22017
2006,Mio Constant USD 2016,Total,28.28442
2007,Mio Constant USD 2016,Total,29.50562
2008,Mio Constant USD 2016,Total,33.840579999999996
2009,Mio Constant USD 2016,Total,47.53841
2010,Mio Constant USD 2016,Total,37.056670000000004
2011,Mio Constant USD 2016,Total,73.67935
2012,Mio Constant USD 2016,Total,23.504360000000002
2013,Mio Constant USD 2016,Total,19.430770000000003
2014,Mio Constant USD 2016,Total,61.69387
2015,Mio Constant USD 2016,Total,101.34447
2016,Mio Constant USD 2016,Total,246.64485
